22;Tord Gustavsen Quartet;Jazz / Contemporain
20;Interpol;Indie Pop / Indie Rock
19;Joanna Newsom;Indie Folk
20;Yo La Tengo;Indie Pop / Indie Rock
39;Frost_;Rock Progressif Moderne
17;Iron Maiden;Hard Rock / Heavy Metal
25;Justice;New Funk
13;The Byrds;Folk / Pop / Rock
20;Violent Femmes;Indie Pop / Indie Rock
8;Katatonia;Doom / Gothic Metal
12;The Orb;Electro / Techno
38;Electric Light Orchestra;Rock Progressif
28;Blues Brothers;OST
38;Focus;Rock Progressif
10;Sébastien Tellier;Electro / Downtempo
41;Red House Painters;Slowcore
20;Everything Everything;Indie Pop / Indie Rock
11;Robyn;Electro / Electropop
20;Hot Chip;Indie Pop / Indie Rock
20;Mew;Indie Pop / Indie Rock
14;Daniel Balavoine;FR
23;Esbjörn Svensson Trio;Jazz / Piano
14;Jacques Dutronc;FR
32;Mogwai;Post-Rock
20;Caroline Polachek;Indie Pop / Indie Rock
20;Sparklehorse;Indie Pop / Indie Rock
31;Gastr del Sol;Post-Punk / New Wave
22;Avishai Cohen;Jazz / Contemporain
13;Dusty Springfield;Folk / Pop / Rock
20;Real Estate;Indie Pop / Indie Rock
13;Van Morrison;Folk / Pop / Rock
2;The Knife;Art Pop / Synthpop
32;Explosions in the Sky;Post-Rock
13;The Who;Folk / Pop / Rock
11;Kylie Minogue;Electro / Electropop
7;Disillusion;Death Metal Mélodique
44;Chico Buarque;World Music
23;Shai Maestro Trio;Jazz / Piano
13;Cat Stevens;Folk / Pop / Rock
2;Duran Duran;Art Pop / Synthpop
17;Pantera;Hard Rock / Heavy Metal
18;Gang Starr;Hip-Hop
19;Laura Nyro;Indie Folk
19;Sharon Van Etten;Indie Folk
19;Sufjan Stevens;Indie Folk
21;Cannonball Adderley;Jazz / Classique
17;Anthrax;Hard Rock / Heavy Metal
38;Faust;Rock Progressif
20;The Bats;Indie Pop / Indie Rock
13;John Mayer;Folk / Pop / Rock
31;The Sound;Post-Punk / New Wave
20;Weezer;Indie Pop / Indie Rock
21;Oliver Nelson;Jazz / Classique
20;Spoon;Indie Pop / Indie Rock
30;Neurosis;Post-Metal
36;Jamila Woods;R&B
13;Neil Young & Crazy Horse;Folk / Pop / Rock
13;Nick Drake;Folk / Pop / Rock
38;Robert Wyatt;Rock Progressif
16;Andy McKee;Guitare
20;Tame Impala;Indie Pop / Indie Rock
20;Guided by Voices;Indie Pop / Indie Rock
13;The Police;Folk / Pop / Rock
13;Suzanne Vega;Folk / Pop / Rock
38;Moondog;Rock Progressif
20;Makthaverskan;Indie Pop / Indie Rock
13;T. Rex;Folk / Pop / Rock
38;Rush;Rock Progressif
20;My Bloody Valentine;Indie Pop / Indie Rock
20;Dinosaur Jr_;Indie Pop / Indie Rock
20;Stephen Malkmus and the Jicks;Indie Pop / Indie Rock
2;Tears for Fears;Art Pop / Synthpop
23;Baptiste Trotignon;Jazz / Piano
7;Dark Tranquillity;Death Metal Mélodique
20;American Football;Indie Pop / Indie Rock
14;Michel Fugain;FR
13;Ben Folds;Folk / Pop / Rock
43;Massive Attack;Trip-Hop
20;Alvvays;Indie Pop / Indie Rock
21;Art Blakey & The Jazz Messengers;Jazz / Classique
42;The Ronettes;Soul / Funk
38;Yes;Rock Progressif
42;Marvin Gaye;Soul / Funk
7;Amon Amarth;Death Metal Mélodique
14;Ruth;FR
30;Gamma Ray;Post-Metal
31;Killing Joke;Post-Punk / New Wave
14;Dogs;FR
5;Oasis;Britpop
34;The Clash;Punk / Post-Hardcore
14;Jacqueline Taïeb;FR
20;Third Eye Blind;Indie Pop / Indie Rock
20;Deerhunter;Indie Pop / Indie Rock
20;Galaxie 500;Indie Pop / Indie Rock
40;The Jimi Hendrix Experience;Rock Psychédélique
20;Stereolab;Indie Pop / Indie Rock
23;Baptiste Trotignon, Minino Garay;Jazz / Piano
11;Carly Rae Jepsen;Electro / Electropop
21;Max Roach & Clifford Brown;Jazz / Classique
20;The Verve;Indie Pop / Indie Rock
13;Johnny Cash;Folk / Pop / Rock
14;Claude Nougaro;FR
28;久石譲;OST
39;Porcupine Tree;Rock Progressif Moderne
36;FKA twigs;R&B
13;Townes Van Zandt;Folk / Pop / Rock
19;Phoebe Bridgers;Indie Folk
11;Billie Eilish;Electro / Electropop
20;Pond;Indie Pop / Indie Rock
43;Archive;Trip-Hop
36;Grimes;R&B
20;Super Furry Animals;Indie Pop / Indie Rock
13;The Waterboys;Folk / Pop / Rock
13;Ringo Starr;Folk / Pop / Rock
13;The Velvet Underground;Folk / Pop / Rock
33;Stratovarius;Power Metal
16;Buckethead;Guitare
20;Beat Happening;Indie Pop / Indie Rock
34;Fugazi;Punk / Post-Hardcore
14;Asylum Party;FR
20;Japanese Breakfast;Indie Pop / Indie Rock
29;Coldplay;Pop Rock
13;Donovan;Folk / Pop / Rock
33;HammerFall;Power Metal
