Dave Brubeck - Tokyo Traffic;/home/david/nfs/WDC14/Musique/The Dave Brubeck Quartet/Jazz Impressions of Japan/01 Tokyo Traffic.mp3
David Bowie - Heroes;/home/david/nfs/WDC14/Musique/David Bowie/“Heroes”/03 “Heroes”.mp3
Dream Theater - One Last Time;/home/david/nfs/WDC14/Musique/Dream Theater/Metropolis, Pt. 2_ Scenes From a Memory/10 Act II_ Scene Seven_ II. One Last Time.mp3
Dustin O'Halloran - We Move Lightly;/home/david/nfs/WDC14/Musique/Dustin O’Halloran/Like Crazy/03 We Move Lightly.mp3
Eels - Susan's House;/home/david/nfs/WDC14/Musique/EELS/Beautiful Freak/02 Susan’s House.mp3
Faust - Picnic on a Frozen River, Deuxieme Tableux;/home/david/nfs/WDC14/Musique/Faust/Faust IV/05 Picnic on a Frozen River _ Deuxieme Tableux.mp3
Frank Ocean - Super Rich Kids;/home/david/nfs/WDC14/Musique/Frank Ocean/Channel Orange/07 Super Rich Kids.mp3
Gene Clark - Life's Greatest Fool;/home/david/nfs/WDC14/Musique/Gene Clark/No Other/01 Life’s Greatest Fool.mp3
Ghost Brigade - 22:22;/home/david/nfs/WDC14/Musique/Ghost Brigade/Isolation Songs/05 22_22 - Nihil.mp3
Gonzales - Bermuda Triangle;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/04 Bermuda Triangle.flac
Gonzales - Dot;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/05 Dot.flac
Gonzales - Gogol;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/01 Gogol.flac
Gonzales - I Am Europe;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/02 I Am Europe.mp3
Gonzales - Kenaston;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/02 Kenaston.flac
Gonzales - Knight Moves;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/01 Knight Moves.mp3
Gonzales - Let's Ride;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Soft Power/08 Let's Ride.mp3
Gonzales - Manifesto;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/02 Manifesto.flac
Gonzales - Oregano;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/13 Oregano.flac
Gonzales - Othello;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/10 Othello.flac
Gonzales - Overnight;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/03 Overnight.flac
Gonzales - Paristocrats;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano/09 Paristocrats.flac
Gonzales - Rideaux Lunaires;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/05 Rideaux Lunaires.flac
Gonzales - Slow Down;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Soft Power/02 Slow Down.mp3
Gonzales - Smothered Mate;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/04 Smothered Mate.mp3
Gonzales - Train of Thought;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/11 Train of Thought.flac
Gonzales - White Keys;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Solo Piano II/01 White Keys.flac
Gonzales - You Can Dance;/home/david/nfs/WDC14/Musique/Chilly Gonzales/Ivory Tower/09 You Can Dance.mp3
Guns N' Roses - Civil War;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Use Your Illusion II/01 Civil War.mp3
Guns N' Roses - Knockin' on Heaven's Door;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Use Your Illusion II/04 Knockin' on Heaven's Door.mp3
Guns N' Roses - November Rain;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Use Your Illusion I/10 November Rain.mp3
Guns N' Roses - Paradise City;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Appetite for Destruction/06 Paradise City.mp3
Guns N' Roses - Sweet Child o' Mine;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Appetite for Destruction/09 Sweet Child o' Mine.mp3
Guns N' Roses - Welcome to the Jungle;/home/david/nfs/WDC14/Musique/Guns N’ Roses/Appetite for Destruction/01 Welcome to the Jungle.mp3
Hiromi - Seeker;/home/david/nfs/WDC14/Musique/上原ひろみ ザ・トリオ・プロジェクト/Alive/04 Seeker.mp3
IAM - Demain, c'est loin;/home/david/nfs/WDC14/Musique/IAM/L’École du micro d’argent/16 Demain, c’est loin.mp3
