Chris Thile - Independence Day;/home/david/nfs/Toshiba/Musique/Chris Thile & Brad Mehldau/Chris Thile & Brad Mehldau/05 Independence Day.flac
D'Angelo - Feel Like Makin’ Love;/home/david/nfs/Toshiba/Musique/D’Angelo/Voodoo/10 Feel Like Makin’ Love.mp3
D'Angelo - Untitled (How Does It Feel);/home/david/nfs/Toshiba/Musique/D’Angelo/Voodoo/12 Untitled (How Does It Feel).mp3
Daft Punk - Lose Yourself to Dance (feat. Pharrell Williams);/home/david/nfs/Toshiba/Musique/Daft Punk/Random Access Memories/06 Lose Yourself to Dance.mp3
Dave Brubeck - Blue Rondo à la Turk;/home/david/nfs/Toshiba/Musique/The Dave Brubeck Quartet/Time Out/01 Blue Rondo a la Turk.mp3
Dave Brubeck - Tokyo Traffic;/home/david/nfs/Toshiba/Musique/The Dave Brubeck Quartet/Jazz Impressions of Japan/01 Tokyo Traffic.mp3
David Bowie - Heroes;/home/david/nfs/Toshiba/Musique/David Bowie/“Heroes”/03 “Heroes”.mp3
Dream Theater - One Last Time;/home/david/nfs/Toshiba/Musique/Dream Theater/Metropolis, Pt. 2_ Scenes From a Memory/10 Act II_ Scene Seven_ II. One Last Time.mp3
Dustin O'Halloran - We Move Lightly;/home/david/nfs/Toshiba/Musique/Dustin O’Halloran/Like Crazy/03 We Move Lightly.mp3
Eels - Susan's House;/home/david/nfs/Toshiba/Musique/EELS/Beautiful Freak/02 Susan’s House.mp3
Elton John - Sorry Seems to Be the Hardest Word;/home/david/MISSING
Faust - Picnic on a Frozen River, Deuxieme Tableux;/home/david/nfs/Toshiba/Musique/Faust/Faust IV/05 Picnic on a Frozen River _ Deuxieme Tableux.mp3
Frank Ocean - Super Rich Kids;/home/david/nfs/Toshiba/Musique/Frank Ocean/Channel Orange/07 Super Rich Kids.mp3
Gene Clark - Life's Greatest Fool;/home/david/nfs/Toshiba/Musique/Gene Clark/No Other/01 Life’s Greatest Fool.mp3
Ghost Brigade - 22:22;/home/david/nfs/Toshiba/Musique/Ghost Brigade/Isolation Songs/05 22_22 - Nihil.mp3
Ginger Root - Call It Home;/home/david/MISSING
Gonzales - Bermuda Triangle;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/04 Bermuda Triangle.flac
Gonzales - Dot;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/05 Dot.flac
Gonzales - Gogol;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/01 Gogol.flac
Gonzales - I Am Europe;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Ivory Tower/02 I Am Europe.mp3
Gonzales - Kenaston;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/02 Kenaston.flac
Gonzales - Knight Moves;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Ivory Tower/01 Knight Moves.mp3
Gonzales - Let's Ride;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Soft Power/08 Let's Ride.mp3
Gonzales - Manifesto;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/02 Manifesto.flac
Gonzales - Oregano;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/13 Oregano.flac
Gonzales - Othello;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/10 Othello.flac
Gonzales - Overnight;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/03 Overnight.flac
Gonzales - Paristocrats;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano/09 Paristocrats.flac
Gonzales - Rideaux Lunaires;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/05 Rideaux Lunaires.flac
Gonzales - Slow Down;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Soft Power/02 Slow Down.mp3
Gonzales - Smothered Mate;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Ivory Tower/04 Smothered Mate.mp3
Gonzales - Train of Thought;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/11 Train of Thought.flac
Gonzales - White Keys;/home/david/nfs/Toshiba/Musique/Chilly Gonzales/Solo Piano II/01 White Keys.flac
