31;The Chameleons
13;Iggy Pop
11;Taylor Swift
42;George Benson
20;Grandaddy
20;Ted Leo and the Pharmacists
19;Aimee Mann
23;Chris Thile & Brad Mehldau
20;Yves Tumor
23;Jan Johansson
24;Opeth
20;Spiritualized
20;The Go! Team
31;Tuxedomoon
7;In Mourning
20;Broken Social Scene
43;Nujabes
36;Blood Orange
20;Broadcast
32;Flying Saucer Attack
24;Tool
42;William Onyeabor
20;Sugar
13;Steely Dan
24;Devin Townsend
1;Rammstein
1;X JAPAN
24;Thy Catafalque
5;James
7;Wintersun
19;Panda Bear
14;Feu! Chatterton
20;The Sundays
31;Clinic
2;Fever Ray
48;Death
13;Lou Reed
20;Mitski
34;Hüsker Dü
20;Arcade Fire
13;Murray Head
20;Ween
17;Mercyful Fate
2;Björk
20;The Temper Trap
6;Ólafur Arnalds
38;Pink Floyd
31;My Dad Is Dead
17;King Diamond
18;IAM
22;Snarky Puppy
44;Habib Koité & Eric Bibb
4;Ulver
20;Brand New
10;General Elektriks
10;Lemon Jelly
38;Cluster
19;Adrianne Lenker
38;King Crimson
34;Cave In
9;Jon Hopkins
20;Kings of Leon
10;M83
13;Marty Robbins
20;Yuck
20;Radiohead
8;Tiamat
20;Owen Pallett
20;Rolling Blackouts Coastal Fever
13;Queen
42;Chic
24;Devin Townsend Project
28;Lena Raine
20;Rilo Kiley
13;The Beach Boys
20;Mac DeMarco
6;Rob Costlow
20;The New Pornographers
20;Girls
14;France Gall
31;Magazine
31;Second Layer
13;Santana
24;Animals as Leaders
18;Warren G
20;Allo Darlin’
28;Jon Brion
6;Chilly Gonzales
6;Peter Broderick
20;Fleet Foxes
20;Slowdive
26;Phil Spector
13;Stevie Nicks
10;Rone
20;The Shins
44;Buena Vista Social Club
20;Cloud Nothings
6;Kiasmos
19;Kings of Convenience
13;Michael Jackson
20;The Feelies
14;Maxime Le Forestier
45;Andy Partridge
20;Jellyfish
25;Daft Punk
11;Dua Lipa
20;Concrete Blonde
39;Lazuli
38;Genesis
7;Children of Bodom
17;Led Zeppelin
7;Be'lakor
22;Jaco Pastorius
39;Blackfield
17;Grave Digger
48;Megadeth
31;Siouxsie and the Banshees
21;The Horace Silver Quintet & The Horace Silver Trio
20;Silver Jews
13;The Pretenders
2;Metronomy
8;The Gathering
14;Noir Désir
20;Ride
13;The Doors
21;Charles Mingus
22;The Bad Plus
23;Brad Mehldau
47;Compilations
13;Vashti Bunyan
20;The Chills
21;The Clifford Brown–Max Roach Quintet
13;Peter Gabriel
14;Nino Ferrer
14;Serge Gainsbourg
10;The Avalanches
20;Julian Cope
31;The Fall
20;Robyn Hitchcock
19;The Mountain Goats
31;DEVO
19;Neko Case
5;Blur
19;EELS
20;Washed Out
2;Bauhaus
29;Red Hot Chili Peppers
24;The Devin Townsend Band
6;Yann Tiersen
23;Shai Maestro
20;The Postal Service
20;The Jesus and Mary Chain
10;Gorillaz
21;Pharoah Sanders
16;Racer X
7;Before the Dawn
31;The Cure
24;Orphaned Land
13;Paul Simon
10;Ratatat
30;Isis
22;Pat Metheny Group
20;glass beach
23;Joey Alexander
13;Randy Newman
21;Kenny Burrell
20;Cat Power
18;Akhenaton
33;Blind Guardian
13;Styx
38;Kansas
31;Wire
20;Sweet Trip
23;Brad Mehldau Trio
36;Gnarls Barkley
32;God Is an Astronaut
13;Carole King
18;Deltron 3030
17;UFO
4;Les Discrets _ Alcest
20;The Olivia Tremor Control
20;The Notwist
27;GoGo Penguin
8;Anathema
22;Avishai Cohen Trio
31;Wipers
25;L'Impératrice
2;LCD Soundsystem
21;McCoy Tyner
20;The Teardrop Explodes
20;Beulah
42;The Righteous Brothers
42;Bill Withers
21;Wayne Shorter
16;Paul Gilbert
35;Jeff Rosenstock
20;The Replacements
45;XTC
13;The High Llamas
20;The Beta Band
35;NOFX
14;Georges Brassens
20;Mansun
18;Ice Cube
21;Hank Mobley
20;Electrelane
11;Katy Perry
20;The Lemonheads
34;Thrice
20;Mercury Rev
17;Michael Schenker Group
13;Cheap Trick
2;CHVRCHΞS
42;Stevie Wonder
20;IDLES
32;This Will Destroy You
19;Bill Callahan
22;Tord Gustavsen Trio
2;Lorde
36;Estelle
20;Gustavo Cerati
23;Vince Guaraldi
13;Gene Clark
13;The Monkees
2;Japan
1;Faith No More
42;Allen Toussaint
44;Enya
20;Kurt Vile
31;Siekiera
20;Beck
21;The Horace Silver Quintet
24;Myrath
23;Abdullah Ibrahim
28;Angelo Badalamenti
25;Breakbot
22;Pat Metheny
20;The Field Mice
13;Blue Öyster Cult
9;Carbon Based Lifeforms
20;The Smashing Pumpkins
31;The B‐52s
42;Lee Fields & The Expressions
13;Brian Eno
21;Freddie Hubbard
20;The Magnetic Fields
36;Rhye
42;Dionne Warwick
7;Cormorant
13;Big Star
42;Aretha Franklin
20;CAKE
11;Jamie xx
20;The Breeders
19;Animal Collective
20;Julia Holter
41;Low
31;CCCP Fedeli alla linea
48;Metallica
14;Brel, Brassens, Ferré
22;Ibrahim Maalouf
2;La Femme
42;Sister Sledge
19;Elliott Smith
2;New Order
20;Built to Spill
5;Pulp
13;Supertramp
20;They Might Be Giants
20;Japandroids
12;The Chemical Brothers
14;Renaud
20;The Smiths
20;Purple Mountains
13;4 Non Blondes
11;Kero Kero Bonito
38;Camel
20;Yeah Yeah Yeahs
11;MGMT
34;Unwound
32;65daysofstatic
33;Haggard
22;Weather Report
13;Derek and the Dominos
13;Men at Work
20;The Flaming Lips
9;Aphex Twin
31;Joy Division
13;Elton John
21;Lee Morgan
17;Judas Priest
41;Duster
11;SOPHIE
21;Ahmad Jamal
31;Joe Jackson
20;The Walkmen
48;Slayer
22;George Duke
36;Kelela
20;Pinback
8;Moonspell
8;Paradise Lost
13;Roxy Music
23;Lynne Arriale Trio
17;Scorpions
20;Pavement
28;Calum Bowen
19;Aldous Harding
13;Steve Winwood
29;Wir sind Helden
38;Can
20;Foals
14;Indochine
22;Rahsaan Roland Kirk
9;Boards of Canada
31;Mission of Burma
20;Morrissey
14;Charles Aznavour
20;WHY_
2;Passion Pit
31;Кино
24;Dream Theater
21;Dave Brubeck
27;Aufgang
20;The Pains of Being Pure at Heart
13;The Walker Brothers
7;Ghost Brigade
31;Nick Lowe
20;Hoodoo Gurus
13;The Pogues
13;Bryan Adams
35;Die Ärzte
20;Life Without Buildings
20;Deerhoof
14;Michel Berger
13;Graham Nash
20;Portugal. The Man
31;Television
10;Tycho
39;Steven Wilson
13;Scott Walker
20;Have a Nice Life
20;Belle and Sebastian
32;Caspian
2;Kraftwerk
20;Bombay Bicycle Club
22;Robert Glasper
5;Travis
19;16 Horsepower
42;Donna Summer
20;Death Cab for Cutie
20;Cocteau Twins
10;Dan Deacon
13;Status Quo
20;Everything but the Girl
20;The Microphones
7;Hypocrisy
32;Sigur Rós
21;Miles Davis
42;Curtis Harding
13;Imogen Heap
19;Rome
38;Rick Wakeman
19;M. Ward
48;Machine Head
13;Billy Joel
21;The Dave Brubeck Quartet
7;At the Gates
14;Lizzy Mercier Descloux
20;(Sandy) Alex G
20;Gravenhurst
13;The Beatles
31;Buzzcocks
12;The Field
36;Solange
31;Echo & The Bunnymen
14;Jacques Brel
33;Nightwish
20;Big Thief
14;Jacques Higelin
31;The Cars
5;Suede
31;Elvis Costello
20;The Dandy Warhols
3;billwurtz
11;Charli XCX
13;Nits
44;Chico Hamilton
20;Jim O’Rourke
20;R.E.M_
27;The Cinematic Orchestra
20;dEUS
8;Catamenia
8;Sentenced
14;Exsonvaldes
5;Doves
13;Cyndi Lauper
19;Beach House
20;The Apples in Stereo
42;Donny Hathaway
13;Eric Clapton
42;Minnie Riperton
29;Bruno Mars
19;Lucinda Williams
40;King Gizzard & The Lizard Wizard
38;The Alan Parsons Project
20;Metric
20;of Montreal
20;Pixies
19;Lianne La Havas
2;Orchestral Manoeuvres in the Dark
18;2Pac
31;Klaus Mitffoch
24;Between the Buried and Me
20;Hard Girls
11;Wonder Girls
31;The Sisters of Mercy
13;Big Country
20;The Beths
32;toe
42;Grover Washington, Jr_
20;Battles
20;Parquet Courts
20;The Soft Boys
5;Manic Street Preachers
40;Syd Barrett
13;Sinéad O'Connor
20;Jim O'Rourke
42;D'Angelo
11;CHVRCHES
22;Nik Bärtsch's Ronin
23;Vince Guaraldi Trio
21;Oscar Peterson
13;The Animals
17;Guns N' Roses
20;The Go-Betweens
23;Hiromi
25;A.A.L.
31;Public Image Ltd.
28;Sven Libaek
20;Ginger Root
6;Gonzales
20;Ariel Pink's Haunted Graffiti
19;Eels
20;Sleater-Kinney
47;Portsmouth Sinfonia
34;At the Drive-In
13;Tom Waits
22;Joshua Redman
28;Mai Yamane
44;Milton Nascimento
28;New York musicians
22;Francesco Bearzatti
20;...And You Will Know Us by the Trail of Dead
40;Jimi Hendrix
22;Roy Hargrove
13;Buffalo Springfield
29;Imagine Dragons
13;Peter Gabriel & Kate Bush
32;World's End Girlfriend
21;Oscar Peterson Trio
22;Youn Sun Nah
44;Ali Farka Touré and Ry Cooder
16;Van Larkins
20;Alex G
16;Chet Atkins
22;Robert Glasper Experiment
23;Chris Thile
23;Alex Guilbert Trio
6;Dustin O'Halloran
14;Jean-Luc Ponty
14;Poom
14;Jean-Jacques Goldman
20;alt-J
